#{"t_start": 1634014439.0925846, "env_id": "AliengoGymEnv-v0"}
r,l,t
-0.086275,57,3.904655
-0.17709,191,10.876231
-0.18215,254,19.951637
-0.108258,83,30.58524
-0.084572,144,63.67595
-0.146765,74,66.367026
-0.098183,83,69.410236
-0.149,155,82.833488
-0.109328,115,87.015723
-0.204328,168,120.934612
-0.015293,59,123.035335
-0.221748,222,138.747024
-0.074463,67,141.265828
0.017518,86,144.485204
-0.019342,74,147.234985
-0.03773,78,176.308734
-0.124701,146,189.294611
-0.144283,159,195.370251
-0.045686,73,198.13018
