#{"t_start": 1632997271.537395, "env_id": "A1GymEnv-v0"}
r,l,t
-0.047095,40,8.424047
-0.199495,267,19.344583
-0.167956,257,77.667027
-0.107692,168,141.92326
-0.013921,27,143.033113
-0.077612,308,203.606194
-0.015965,70,206.475007
-0.113344,530,330.719658
-0.028545,248,393.74304
-0.106562,124,398.68003
0.010934,124,451.916018
-0.167061,618,583.379314
-0.093617,510,709.27048
0.221476,536,779.67399
-0.087793,221,788.672333
-0.017781,82,842.390803
0.016188,69,845.618985
0.044544,92,849.522185
0.131152,147,857.2672
0.053603,179,919.195338
0.058147,311,932.797186
0.011913,55,935.201733
-0.071192,90,940.609005
-0.043922,205,1004.733353
-0.015726,144,1011.216397
-0.158099,336,1080.524814
0.161024,398,1147.502166
0.038818,178,1156.544565
0.056837,78,1159.825345
0.153216,135,1165.593776
0.160564,132,1222.984861
0.085141,63,1225.709942
0.134,58,1228.148164
0.050806,46,1230.110618
-0.035415,110,1236.054674
0.063461,123,1241.309697
0.061502,58,1243.797946
0.082668,129,1303.104331
0.119923,73,1306.217105
0.109747,60,1308.753722
0.029564,133,1315.731163
0.192553,100,1320.000793
0.129028,185,1380.569041
0.097386,67,1383.386231
0.085211,74,1386.45378
0.195517,230,1397.651219
-0.021219,237,1460.605692
0.356303,267,1472.001609
0.226607,226,1534.268925
0.074855,116,1539.101375
0.09695,74,1542.265576
0.096978,138,1601.343982
-0.019809,267,1614.163459
0.104066,60,1616.749711
0.109492,58,1619.18445
0.03918,133,1677.452486
0.075328,55,1679.834603
0.112402,41,1681.59132
0.134413,64,1684.33856
0.122757,57,1686.751686
0.33142,382,1759.691789
0.131274,78,1762.979479
0.160985,76,1766.269765
0.059409,136,1773.662227
0.124405,75,1776.857129
0.105591,93,1833.608024
0.105376,49,1835.606949
0.098735,48,1837.553009
0.129351,67,1840.345502
0.145745,93,1844.367015
0.011023,225,1903.77651
0.123809,95,1907.831736
0.117627,77,1911.086197
0.132045,87,1914.800535
0.138579,65,1917.539849
0.109637,61,1920.155267
0.180621,96,1977.400232
0.203424,93,1983.322681
0.186976,104,1987.877347
0.207173,185,1995.802122
0.106792,48,1997.812275
0.210016,111,2056.967678
0.159491,69,2059.903718
0.154811,128,2067.04878
0.118964,51,2069.254831
0.080483,66,2072.031278
0.126942,100,2076.191288
0.234921,105,2130.639084
0.062406,43,2132.48539
0.16924,92,2136.151042
0.158654,61,2138.644657
0.030687,115,2145.012299
0.171248,81,2148.436041
0.209951,95,2204.247745
0.205794,134,2209.910584
0.160655,136,2215.608841
0.23752,329,2282.731037
0.130198,69,2285.637096
0.161103,86,2289.152167
0.309753,180,2296.419537
0.153543,74,2349.805467
0.256283,339,2365.783683
0.156651,354,2432.496312
0.091613,54,2434.78248
0.183561,85,2438.341107
